State,2000,2004,2008,2012,2016,2020
Alabama,0,0,0,0,0,0
Alaska,0,0,0,0,0,0
Arizona,0,0,0,0,0,1
Arkansas,0,0,0,0,0,0
California,1,1,1,1,1,1
Colorado,0,0,1,1,1,1
Connecticut,1,1,1,1,1,1
Delaware,1,1,1,1,1,1
Florida,0,0,1,1,0,0
Georgia,0,0,0,0,0,1
Hawaii,1,1,1,1,1,1
Idaho,0,0,0,0,0,0
Illinois,1,1,1,1,1,1
Indiana,0,0,1,0,0,0
Iowa,1,0,1,1,0,0
Kansas,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0
Maine,1,1,1,1,1,1
Maryland,1,1,1,1,1,1
Massachusetts,1,1,1,1,1,1
Michigan,1,1,1,1,0,1
Minnesota,1,1,1,1,1,1
Mississippi,0,0,0,0,0,0
Missouri,0,0,0,0,0,0
Montana,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0
Nevada,0,0,1,1,1,1
New Hampshire,0,1,1,1,1,1
New Jersey,1,1,1,1,1,1
New Mexico,1,0,1,1,1,1
New York,1,1,1,1,1,1
North Carolina,0,0,1,0,0,0
North Dakota,0,0,0,0,0,0
Ohio,0,0,1,1,0,0
Oklahoma,0,0,0,0,0,0
Oregon,1,1,1,1,1,1
Pennsylvania,1,1,1,1,0,1
Rhode Island,1,1,1,1,1,1
South Carolina,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0
Texas,0,0,0,0,0,0
Utah,0,0,0,0,0,0
Vermont,1,1,1,1,1,1
Virginia,0,0,1,1,1,1
Washington,1,1,1,1,1,1
West Virginia,0,0,0,0,0,0
Wisconsin,1,1,1,1,0,1
Wyoming,0,0,0,0,0,0
