State,Democratic,Republican,Total
Alabama,1,6,7
Alaska,0,1,1
Arizona,4,5,9
Arkansas,0,4,4
California,42,12,54
Colorado,4,3,7
Connecticut,5,0,5
Delaware,1,0,1
Florida,12,16,28
Georgia,6,8,14
Hawaii,2,0,2
Idaho,0,2,2
Illinois,13,5,18
Indiana,2,7,9
Iowa,1,3,4
Kansas,1,3,4
Kentucky,1,5,6
Louisiana,2,5,7
Maine,2,0,2
Maryland,7,1,8
Massachusetts,9,0,9
Michigan,7,7,14
Minnesota,4,4,8
Mississippi,1,3,4
Missouri,2,6,8
Montana,0,1,1
Nebraska,0,3,3
Nevada,3,1,4
New Hampshire,2,0,2
New Jersey,10,2,12
New Mexico,1,3,4
New York,19,8,27
North Carolina,8,5,13
North Dakota,0,1,1
Ohio,13,5,18
Oklahoma,0,5,5
Oregon,4,1,5
Pennsylvania,9,9,18
Rhode Island,2,0,2
South Carolina,1,6,7
South Dakota,0,1,1
Tennessee,2,7,9
Texas,13,25,38
Utah,0,4,4
Vermont,1,0,1
Virginia,7,4,11
Washington,7,3,10
West Virginia,0,3,3
Wisconsin,3,5,8
Wyoming,0,1,1
